0,1,2,3,4,5,6,7,8,9,10,11,12,13
27.0,159019.0,0.424,0.942,7.0,-3.338,1.0,0.118,0.0025,1.14e-06,0.23,0.447,143.671,4.0
28.0,214099.0,0.434,0.832,0.0,-9.513,1.0,0.0716,0.348,3.2e-05,0.158,0.591,93.674,4.0
27.0,175336.0,0.709,0.156,3.0,-17.424,1.0,0.0357,0.924,7.77e-05,0.0895,0.188,109.799,4.0
29.0,91893.0,0.5,0.764,4.0,-7.834,1.0,0.0626,0.168,0.0,0.226,0.966,126.899,4.0
28.0,122600.0,0.463,0.656,0.0,-3.078,1.0,0.0468,0.0845,0.00224,0.16,0.798,176.907,4.0
28.0,185250.0,0.582,0.541,8.0,-5.499,1.0,0.059,0.324,0.0,0.0646,0.562,154.871,4.0
28.0,73066.0,0.495,0.531,0.0,-6.372,1.0,0.0582,0.696,0.0,0.165,0.827,155.227,4.0
26.0,236293.0,0.643,0.407,0.0,-6.086,1.0,0.0355,0.414,0.000385,0.116,0.332,132.449,3.0
27.0,212893.0,0.491,0.913,0.0,-4.526,1.0,0.0567,1.88e-05,2.26e-06,0.327,0.59,89.987,4.0
27.0,89760.0,0.673,0.637,3.0,-7.546,1.0,0.0281,0.295,0.000383,0.184,0.541,105.043,4.0
48.0,199880.0,0.585,0.441,7.0,-9.271,0.0,0.0311,0.501,0.534,0.0967,0.0591,114.091,4.0
28.0,219853.0,0.71,0.782,2.0,-6.276,1.0,0.0835,0.0684,8.66e-06,0.0845,0.523,123.04,4.0
26.0,279781.0,0.746,0.421,2.0,-7.944,1.0,0.0756,0.409,0.0,0.113,0.545,97.152,4.0
45.0,270466.0,0.337,0.605,7.0,-7.84,1.0,0.0277,0.862,0.0031,0.944,0.424,59.327,4.0
55.0,230773.0,0.595,0.384,2.0,-12.114,1.0,0.0305,0.682,2.37e-06,0.0796,0.691,90.726,4.0
28.0,191973.0,0.517,0.578,11.0,-7.37,1.0,0.0293,0.367,1.42e-06,0.176,0.398,138.178,4.0
27.0,199093.0,0.717,0.436,7.0,-8.531,1.0,0.056,0.0569,0.0,0.11,0.319,128.112,4.0
26.0,148812.0,0.664,0.274,10.0,-11.005,0.0,0.0425,0.899,0.0,0.354,0.392,75.01,4.0
61.0,207493.0,0.676,0.762,1.0,-4.172,1.0,0.0351,0.461,0.0,0.0574,0.81,119.003,4.0
50.0,186143.0,0.444,0.44,8.0,-11.076,1.0,0.0391,0.741,2e-05,0.102,0.339,76.959,1.0
60.0,251440.0,0.54,0.0674,9.0,-13.778,1.0,0.0368,0.888,0.000382,0.109,0.12,141.988,3.0
50.0,245160.0,0.277,0.291,11.0,-9.851,0.0,0.0306,0.901,2.47e-05,0.103,0.175,75.119,3.0
26.0,317146.0,0.747,0.294,2.0,-10.272,1.0,0.0366,0.956,2.37e-05,0.104,0.412,119.948,4.0
52.0,317133.0,0.654,0.316,0.0,-18.692,0.0,0.041,0.786,0.0563,0.131,0.697,94.485,4.0
26.0,140547.0,0.686,0.347,0.0,-6.075,1.0,0.0341,0.725,0.0,0.411,0.539,145.837,4.0
46.0,229519.0,0.397,0.312,0.0,-10.504,1.0,0.0307,0.772,0.0,0.117,0.141,179.605,4.0
16.0,240640.0,0.543,0.329,4.0,-9.46,1.0,0.0449,0.69,0.0,0.112,0.141,136.549,3.0
